goos: linux
goarch: amd64
pkg: github.com/mtgo-labs/mtgo/internal/crypto
cpu: AMD Ryzen 5 7600X 6-Core Processor             
BenchmarkSaltManagerLoad-12                   	267927700	         4.409 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaltManagerLoad-12                   	272758680	         4.422 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaltManagerLoad-12                   	276252682	         4.352 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaltManagerLoad-12                   	273396048	         4.400 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaltManagerLoad-12                   	268178630	         4.432 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaltManagerLoad-12                   	260594948	         4.495 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaltManagerLoad-12                   	274082539	         4.382 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaltManagerLoad-12                   	274676132	         4.367 ns/op	       0 B/op	       0 allocs/op
BenchmarkSaltManagerLoad-12                   	275076824	         4.351 ns/op	       0 B/op	       0 allocs/op
BenchmarkMsgFactoryAllocateMsgID-12           	33361441	        34.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkMsgFactoryAllocateMsgID-12           	32722746	        34.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkMsgFactoryAllocateMsgID-12           	33935262	        35.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkMsgFactoryAllocateMsgID-12           	34852070	        34.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkMsgFactoryAllocateMsgID-12           	34904502	        34.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkMsgFactoryAllocateMsgID-12           	33892582	        34.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkMsgFactoryAllocateMsgID-12           	34554045	        34.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkMsgFactoryAllocateMsgID-12           	33657867	        34.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkMsgFactoryAllocateMsgID-12           	33688008	        35.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkMsgFactoryAllocateMsgID-12           	34262590	        34.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkMsgFactoryAllocateSeqNo-12           	838089016	         1.427 ns/op	       0 B/op	       0 allocs/op
BenchmarkMsgFactoryAllocateSeqNo-12           	841598295	         1.442 ns/op	       0 B/op	       0 allocs/op
BenchmarkMsgFactoryAllocateSeqNo-12           	829254196	         1.445 ns/op	       0 B/op	       0 allocs/op
BenchmarkMsgFactoryAllocateSeqNo-12           	820818124	         1.461 ns/op	       0 B/op	       0 allocs/op
BenchmarkMsgFactoryAllocateSeqNo-12           	824278519	         1.452 ns/op	       0 B/op	       0 allocs/op
BenchmarkMsgFactoryAllocateSeqNo-12           	839057664	         1.457 ns/op	       0 B/op	       0 allocs/op
BenchmarkMsgFactoryAllocateSeqNo-12           	823717359	         1.469 ns/op	       0 B/op	       0 allocs/op
BenchmarkMsgFactoryAllocateSeqNo-12           	814508535	         1.452 ns/op	       0 B/op	       0 allocs/op
BenchmarkMsgFactoryAllocateSeqNo-12           	823956711	         1.466 ns/op	       0 B/op	       0 allocs/op
BenchmarkMsgFactoryAllocateSeqNo-12           	820078024	         1.455 ns/op	       0 B/op	       0 allocs/op
BenchmarkMsgIDValidatorCheck-12               	854509575	         1.381 ns/op	       0 B/op	       0 allocs/op
BenchmarkMsgIDValidatorCheck-12               	879592623	         1.384 ns/op	       0 B/op	       0 allocs/op
BenchmarkMsgIDValidatorCheck-12               	861198715	         1.380 ns/op	       0 B/op	       0 allocs/op
BenchmarkMsgIDValidatorCheck-12               	865125106	         1.385 ns/op	       0 B/op	       0 allocs/op
